id,title,rating_number,rating_text,reviews_count,avg_check,type,cuisines,tags
42037,Палермо,8.8,Отлично,5,750,Пиццерия,"европейская,пицца,суши",доставка
35635,Burger Club,8.7,Отлично,1,700,Ресторан,американская,
31421,Obed Bufet,8.4,Отлично,13,700,Кафе,"европейская,смешанная",парковка
35061,Сущевский двор,10.0,Идеально,2,800,Кафе,"кавказская,русская","живая музыка,бизнес-ланч,спортивные трансляции,парковка"
30719,Prime,7.6,Хорошо,7,700,Кафе,европейская,доставка
40727,Поварская лавка,10.0,Идеально,22,800,Кафе,"европейская,итальянская","бизнес-ланч,завтрак,кулинарные мастер-классы"
40976,Bloom-n-Brew,9.5,Идеально,2,500,Кофейня,европейская,
31779,Кружка,7.4,Хорошо,5,700,Бар,европейская,"живая музыка,спортивные трансляции"
42572,ABC Coffee Roasters,8.9,Отлично,4,100,Кофейня,сладости,
39677,Чихо,10.0,Идеально,2,500,Кафе,"азиатская,китайская","еда навынос,доставка"
33916,Coffeeshop Company,9.8,Идеально,3,700,Кофейня,"европейская,сладости",парковка
40609,Косой Маркс,5.4,Нормально,3,500,Бар,"стритфуд,крафтовое пиво",бизнес-ланч
36090,Кулинариум,6.0,Неплохо,1,700,Кафе,"европейская,русская","заказ кейтеринга,бизнес-ланч,завтрак,доставка"
33611,Шантимэль,6.0,Неплохо,1,700,Кондитерская,"торты на заказ,сладости","доставка,парковка"
35762,Glowsubs,6.0,Неплохо,2,700,Кафе,американская,"бизнес-ланч,завтрак"
31189,Штолле,6.0,Неплохо,2,700,Кафе,"европейская,русская","детское меню,завтрак,доставка"
39749,Surf Coffee,7.1,Хорошо,2,500,Кофейня,,парковка
38022,Pizza Hut,6.3,Неплохо,1,800,Пиццерия,"европейская,итальянская,пицца","еда навынос,за городом,доставка,парковка"
37847,Table,6.0,Неплохо,2,500,Кафе,европейская,"еда навынос,можно с животными,бизнес-ланч,завтрак,парковка"
32918,Ваби-саби,6.0,Неплохо,2,700,Кафе,"японская,суши,вегетарианские блюда","заказ кейтеринга,бизнес-ланч,кальян,спортивные трансляции,настольные игры"
43876,Raw to Go,6.2,Неплохо,2,500,Корнер,вегетарианская,
41756,Три правила,6.7,Неплохо,2,250,Кафе,европейская,
38510,OneBucks Coffee,6.6,Неплохо,3,300,Кофейня,"европейская,сладости",
39167,Daily Coffee,6.2,Неплохо,2,500,Кофейня,сладости,
36156,Cinnabon,6.7,Неплохо,1,700,Кондитерская,американская,доставка
31449,Costa Coffee,6.7,Неплохо,1,700,Кофейня,"закуски,сладости","бизнес-ланч,спортивные трансляции,завтрак"
35502,Sattva,6.7,Неплохо,6,700,Кафе,"вегетарианская,вегетарианские блюда",бизнес-ланч
35630,Пян-се,6.7,Неплохо,2,700,Ресторан,корейская,доставка
41237,Bright Israeli Grill,6.5,Неплохо,3,800,Кафе,"израильская,восточная,шаурма,арабская",завтрак
37338,Burger Heroes,6.5,Неплохо,8,700,Бургерная,"европейская,стритфуд,крафтовое пиво,бургеры,американская",
30731,Coffee Bean,6.9,Неплохо,2,700,Кофейня,сладости,завтрак
37956,Широкую на широкую,7.0,Хорошо,2,400,Бар,"европейская,сербская",спортивные трансляции
30878,Чебуречная Дружба,6.5,Неплохо,5,700,Кафе,восточная,
45307,Циники,6.8,Неплохо,3,400,Кофейня,"вегетарианская,бургеры",завтрак
42375,Торнадо,7.3,Хорошо,6,200,Клуб,закуски,"здесь танцуют,за городом,шоу-программа,dj,кальян"
40043,Тат & Бургер,7.1,Хорошо,3,700,Кафе,"европейская,татарская","бизнес-ланч,доставка,парковка"
37493,Obed Bufet,7.1,Хорошо,5,700,Кафе,"европейская,смешанная",завтрак
40303,Волчья стая,6.7,Неплохо,6,700,Бар,"бургеры,крафтовое пиво,американская,закуски",
33806,Додо-пицца,5.3,Нормально,20,700,Пиццерия,"европейская,итальянская,пицца","за городом,детская комната,бизнес-ланч,завтрак,доставка"
30777,Prawns,7.7,Хорошо,4,700,Кафе,средиземноморская,"панорамный вид,ресторан у воды"
35564,Killfish,7.2,Хорошо,5,700,Бар,европейская,"бизнес-ланч,спортивные трансляции,доставка"
37981,Вареничная №1,7.2,Хорошо,2,800,Кафе,"русская,украинская",доставка
42071,Ракета,6.0,Неплохо,4,400,Бургерная,"стритфуд,бургеры",завтрак
39076,Крапива,6.9,Неплохо,8,500,Бар,"крафтовое пиво,закуски",
33195,Му-му,10.0,Идеально,3,700,Кафе,"европейская,смешанная,суши,русская","детское меню,бизнес-ланч,завтрак,доставка,парковка"
33351,Варка,9.0,Идеально,3,700,Бар,крафтовое пиво,
35523,Beermarket,7.5,Хорошо,3,700,Бар,"европейская,крафтовое пиво","спортивные трансляции,парковка"
44669,Точка доступа,9.4,Идеально,32,800,Кафе,"европейская,вегетарианские блюда","завтрак,парковка"
42263,Boroda,8.6,Отлично,17,600,Бар,"смешанная,европейская,бургеры,крафтовое пиво","живая музыка,кальян,спортивные трансляции,парковка"
